scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,73,mpc-income,birth-count-shift,0.65,-2.0,0.06721200758912732,-0.0013915049669696038,0.00754166574107915,-0.003912721019967692,0.08773799362543602,0.062088419977229116,3096.412541954242,40
mpc x birth,74,mpc-income,birth-count-shift,0.65,-2.0,0.07120742557111236,-0.0021256707796321926,0.006705439801027988,0.00747375002915737,0.08279936435086302,0.06835202993600968,3521.38473387392,42
mpc x birth,75,mpc-income,birth-count-shift,0.65,-2.0,0.06893187529688198,-0.001740997261299803,0.008914642222681372,0.004301646021781135,0.08595728459308237,0.06463118191895187,3421.297926184556,38
mpc x birth,76,mpc-income,birth-count-shift,0.65,-2.0,0.06425021401258915,-0.0034184708455178513,0.007206346346388063,0.002207603257691122,0.08386604372645949,0.05957679677035619,3328.097302671601,42
mpc x birth,77,mpc-income,birth-count-shift,0.65,-2.0,0.07332923444403167,-0.0019009254195174728,0.00790935310185018,0.008086815947433667,0.08986649274763805,0.0691492439891962,3542.9995353323707,37
mpc x birth,78,mpc-income,birth-count-shift,0.65,-2.0,0.06378810402971317,-0.0022584983359881417,0.006970287853819658,0.0041237765655877745,0.08170249010518357,0.059358024615327555,3430.2183148191443,38
mpc x birth,79,mpc-income,birth-count-shift,0.65,-2.0,0.05844511970291492,-0.0009575819971580427,0.007460950305124267,0.001317644452490305,0.08367160003215642,0.05231829105062184,3301.6222817197668,36
mpc x birth,80,mpc-income,birth-count-shift,0.65,-2.0,0.07499818982094103,-0.002547731662269537,0.008715036255256053,0.00025150253619762186,0.0981561321363554,0.0693815888843021,3238.427450035885,38
mpc x birth,81,mpc-income,birth-count-shift,0.65,-2.0,0.0707216190390945,-0.003105313389209717,0.008752634549204719,0.006661790769764735,0.0945747779805368,0.06495344777330402,3493.7504002152305,41
mpc x birth,82,mpc-income,birth-count-shift,0.65,-2.0,0.07217838306006333,-0.0015613897339376045,0.009184171959980749,0.0028859063334511197,0.08614330020957714,0.06846253047754056,3339.441490014786,40
mpc x birth,83,mpc-income,birth-count-shift,0.65,-2.0,0.062686603185912,-0.0008586521040474575,0.007007948006406209,0.004951718167021608,0.08100865500219681,0.058120607079636136,3445.1746757559245,35
mpc x birth,84,mpc-income,birth-count-shift,0.65,-2.0,0.060299210786588196,-0.0016502654542911177,0.008736645471789196,0.002746790197984218,0.08191849700302059,0.0550741582292477,3394.118387577569,37
mpc x birth,85,mpc-income,birth-count-shift,0.65,-2.0,0.06476951473061035,-0.001960580013927816,0.007412915445763704,-0.00395644963730792,0.08156356400359122,0.06063163405194043,3118.8872139402383,37
mpc x birth,86,mpc-income,birth-count-shift,0.65,-2.0,0.06410937316405078,-0.0011566634250471685,0.007649339610500793,0.006862326891927185,0.08034771678297707,0.0599510891115614,3531.8186758927427,36
mpc x birth,87,mpc-income,birth-count-shift,0.65,-2.0,0.06915403238829868,-0.0022258900755095417,0.007601815792842783,0.0032631844771287164,0.08771513874099905,0.06436550687057127,3355.637659948396,39
