run,retirement-ages,pension-replace-scale,mpc-income,consumer-choices,job-applications,Unemployment,GDP Growth,Inflation,Pension Growth
2128,173,0.6,0.85,5,3,0.014013186924303556,0.0007836652901051901,0.0016323470121256478,-0.0394118817278875
2129,173,0.6,0.85,5,3,0.015244716959771764,0.000759438397860762,0.0010235402614636037,-0.03564188018241884
2130,173,0.6,0.85,5,3,0.014076146582673043,0.00072341020876137,0.0010460250085282058,-0.03789347553555859
2131,173,0.6,0.85,5,3,0.017263947031833215,0.000594005021851878,0.0015332992975957188,-0.03059463993169344
2132,173,0.6,0.85,5,3,0.013819980783815331,0.0008394043133982049,0.0013009761547908766,-0.03602431561103425
2133,173,0.6,0.85,5,3,0.014517346142302722,0.0008851598916814211,0.0016626917709997148,-0.041114053821455644
2134,173,0.6,0.85,5,3,0.017812217262199698,0.0006080832892312988,0.0019853755796108694,-0.04795992492707421
2135,173,0.6,0.85,5,3,0.013695942828460705,0.0006477587523285261,0.001228285267336682,-0.0329192066622551
2136,173,0.6,0.85,5,3,0.023230808288856767,0.0007222739525630849,0.0025317724800622567,-0.040092947864811976
2137,173,0.6,0.85,5,3,0.015174789360088847,0.0008816855807535637,0.0019417358166084885,-0.039928823458109254
2138,173,0.6,0.85,5,3,0.016406279206644586,0.0004285422461922034,0.0017649667150207785,-0.042723360732941494
2139,173,0.6,0.85,5,3,0.02269191668067044,0.00040641594914631805,0.0029029515405238865,-0.034116867091110115
2140,173,0.6,0.85,5,3,0.01450886731246869,0.000763737334593666,0.0013621758956126684,-0.04133727330761293
2141,173,0.6,0.85,5,3,0.016191493958798747,0.0008232849224126312,0.00134009403169304,-0.035502391870747316
2142,173,0.6,0.85,5,3,0.014166644457126346,0.000588854659726255,0.0014335261721450069,-0.04982128727318895
2143,173,0.6,0.85,5,3,0.014074776392040345,0.0009971364163755235,0.001036010759642453,-0.03823236150308392
2144,173,0.6,0.85,5,3,0.014177012012480603,0.0009656226390171978,0.0013175492219600089,-0.03698829095210364
