x,y,t,fund,unemp,gdp
0.525,205,33,8123.503445332884,0.16231566688209556,0.004812886313580156
0.525,205,34,8203.588208451762,0.1618101831598339,0.0042931763694778555
0.525,205,35,8280.538589116906,0.16070986487854164,0.002822765213675786
0.525,205,36,8353.243646297877,0.16337285761915118,0.0007399314603400267
0.525,205,37,8461.53920341424,0.18413630429480898,-0.009464196283303987
0.525,205,38,8562.623045235327,0.20838400241147015,-0.032298686137441274
0.525,205,39,8654.411331365693,0.24286083041654152,-0.038484654481881084
0.525,205,40,8739.333335258356,0.26864462689535135,-0.023673244284614092
0.525,209,1,3324.6407252396075,0.07888111110549031,0.006586545015317203
0.525,209,2,3497.0812449468494,0.09526988528621677,-0.0038221146415466202
0.525,209,3,3669.408622317739,0.1029796763372158,-0.0023329991248407416
0.525,209,4,3842.688574709079,0.10587367720722217,-0.0009074829757339931
0.525,209,5,4015.4780567879593,0.12215915985448346,0.0001915667275708899
0.525,209,6,4188.479851825398,0.12427102048678026,0.00020712929476998185
0.525,209,7,4361.57714659069,0.1266893184720651,0.0005731629373978293
0.525,209,8,4534.88607182837,0.1282293682818379,0.0012800676986687923
0.525,209,9,4719.130931354536,0.14294882507678064,0.0021423510161028753
0.525,209,10,4903.953331832232,0.14461867922544036,0.0026062763131590966
0.525,209,11,5089.179380415454,0.14578928944957154,0.0028401901895603755
0.525,209,12,5275.292082583836,0.1466933935178965,0.004200408010432501
0.525,209,13,5457.478348339277,0.15916604733789477,0.0029590256033789606
0.525,209,14,5640.490520272174,0.15617137783404045,0.0037365325355191823
0.525,209,15,5824.980937494576,0.15236410757322258,0.004999524102663147
0.525,209,16,6011.00650366349,0.14867304950943458,0.00547840128805279
0.525,209,17,6190.7133703432255,0.15818976125796821,0.005999302519295596
0.525,209,18,6371.000433699209,0.15413638079099723,0.005347818760813525
0.525,209,19,6550.376538629628,0.15469355923112,-0.0025462967328091233
0.525,209,20,6724.142529914459,0.16799535850591665,-0.023806047148962634
0.525,209,21,6881.483338929839,0.20290710433447598,-0.03736975621334607
0.525,209,22,7029.655351630909,0.22837642862941515,-0.04044403489782785
0.525,209,23,7174.568704927429,0.2373655420880468,-0.012222396551182952
